url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,has_ip,has_at,num_subdomains,has_https,path_depth,has_port,entropy,is_shortening,has_suspicious,http_status_code,http_response_time,http_redirect_count,content_length,server_type,ssl_valid,ssl_days_remaining,ssl_issuer_trusted,ssl_self_signed,ssl_cert_age_days,dns_resolve_time,dns_record_count,dns_has_mx,label
21,13,0,2,0,0,2,0,0,0,1,1,0,0,3.5945,0,1,200,1.053,2,51519,5,1,62,0,0,21,0.029,1,0,0
22,14,0,1,0,0,2,0,0,0,0,1,0,0,3.8231,0,0,200,2.823,2,547968,0,1,68,1,0,297,0.179,1,1,0
37,23,6,2,0,0,3,0,0,0,1,1,0,0,4.0573,0,1,403,1.127,0,0,2,1,84,0,0,5,0.033,1,0,1
22,14,0,1,0,0,2,0,0,0,0,1,0,0,3.9706,0,0,200,0.857,1,1869171,5,1,330,0,0,64,0.117,2,1,0
31,22,1,2,0,0,3,0,0,0,1,1,0,0,4.0149,0,0,200,0.592,0,22278,4,1,79,0,0,10,0.068,2,0,1
20,12,0,1,0,0,2,2,0,0,0,1,0,0,3.8842,0,0,200,2.434,1,167070,4,1,45,0,0,44,0.085,2,0,0
20,12,0,1,0,0,2,0,0,0,0,1,0,0,3.7842,0,0,200,1.374,1,104712,0,1,79,0,0,10,0.034,1,1,0
20,12,0,1,0,0,2,0,0,0,0,1,0,0,3.7842,0,0,200,2.722,1,398265,0,1,56,0,0,333,0.069,1,1,0
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.6835,0,0,200,2.55,1,140007,1,1,90,1,0,275,0.048,4,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.5111,0,0,404,0.165,0,546,5,1,106,1,0,290,0.026,1,0,0
43,34,1,2,2,0,3,6,0,0,1,1,0,0,4.3731,0,0,200,0.699,0,84400,5,1,72,0,0,17,0.103,2,0,1
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.625,0,0,200,0.827,0,143,2,1,353,1,0,43,0.019,1,1,0
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.6835,0,0,200,0.277,0,562276,5,1,42,1,0,323,0.021,1,1,0
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.5,0,0,200,1.906,1,476141,5,1,242,1,0,154,0.036,2,1,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.6819,0,0,404,1.327,1,164,2,1,49,1,0,346,0.042,3,0,0
44,29,7,2,1,0,3,0,0,0,0,1,0,0,3.9563,0,0,200,2.462,2,134458,0,1,69,0,0,20,0.241,1,0,1
14,6,0,1,0,0,2,0,0,0,0,1,0,0,3.5216,0,0,200,0.238,1,187453,2,1,359,1,0,37,0.017,4,1,0
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.5724,0,0,404,0.59,0,3059,5,1,85,0,0,4,0.034,3,0,0
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.3278,0,0,200,1.737,1,384027,0,1,96,1,0,57,0.056,2,1,0
33,24,1,3,1,0,3,3,0,0,2,1,0,0,4.0667,0,1,403,0.367,0,7053,4,1,62,0,0,27,0.291,2,0,1
38,29,1,2,1,0,3,4,0,0,1,1,0,0,4.4118,0,1,200,0.415,0,2090,0,1,31,0,0,58,0.268,1,0,1
33,24,1,2,0,0,3,0,0,0,1,1,0,0,4.0896,0,0,200,0.596,0,24947,4,1,79,0,0,10,0.073,2,0,1
110,27,76,3,5,1,7,30,0,0,2,0,4,0,4.8943,0,0,404,1.425,1,0,2,0,0,0,0,0,0.021,1,0,1
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.7255,0,0,403,0.442,0,986,5,1,324,0,0,69,0.041,4,1,0
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.375,0,0,200,0.965,0,0,2,1,2,0,0,88,0.207,1,1,0
43,28,7,3,2,0,3,0,0,0,1,1,0,0,4.1581,0,0,403,0.334,0,4996,4,1,79,0,0,10,0.07,2,0,1
28,11,9,1,0,0,3,1,0,0,0,1,0,0,4.155,1,0,200,1.046,1,28989,4,1,46,0,0,43,0.001,2,1,1
22,14,0,1,0,0,2,0,0,0,0,1,0,0,3.9706,0,0,403,0.118,0,7000,4,1,68,0,0,21,0.02,2,1,0
79,15,56,2,0,0,5,7,0,0,1,1,2,0,4.7513,0,1,200,2.428,2,156307,5,1,62,0,0,21,0.001,1,1,1
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.7216,0,0,200,2.323,1,7395,5,1,17,1,0,379,0.245,1,1,0
84,15,61,2,1,1,6,7,0,0,1,1,3,0,4.873,0,1,403,0.6,0,7657,5,1,62,0,0,21,0.001,1,1,1
36,21,7,2,1,0,3,0,0,0,0,1,0,0,3.9166,0,0,200,2.403,0,17854,0,1,70,0,0,19,0.32,1,0,1
178,20,21,6,7,1,4,38,0,0,1,1,1,0,5.2914,0,0,400,0.117,0,23,4,1,48,0,0,41,0.591,2,0,1
24,16,1,1,0,0,3,0,0,0,0,0,0,0,3.5221,0,0,502,0.282,0,0,0,0,0,0,0,0,0.0,0,0,1
60,28,24,3,1,0,3,5,0,0,2,1,0,0,4.6127,0,0,200,1.431,0,54701,4,1,36,0,0,53,0.122,2,0,1
40,16,16,2,0,0,3,15,0,0,1,1,0,0,4.0776,0,0,404,0.95,0,6947,0,1,238,1,0,127,0.001,1,0,1
24,16,0,1,0,0,2,1,0,0,0,1,0,0,3.5179,0,0,200,0.444,0,54746,4,1,75,0,0,14,0.275,3,0,0
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.5,0,0,200,0.767,0,46278,4,1,226,1,0,170,0.067,2,1,0
18,10,0,1,0,0,2,0,0,0,0,1,0,0,3.7255,0,0,200,1.066,0,1971,5,1,64,1,0,301,0.185,1,0,0
17,9,0,1,0,0,2,0,0,0,0,1,0,0,3.4548,0,0,200,0.189,1,14446,5,1,71,1,0,294,0.023,4,0,0
28,20,0,1,0,0,2,0,0,0,0,1,0,0,4.0391,0,0,200,1.456,2,10740,4,1,133,1,0,231,0.047,2,0,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.8269,0,0,200,2.264,1,20261,1,1,32,0,0,57,0.23,1,1,0
43,12,9,1,0,0,4,2,0,0,0,1,1,0,4.3617,0,0,200,0.118,0,1747,4,1,39,0,0,50,0.001,2,0,1
17,9,0,1,0,0,2,1,0,0,0,1,0,0,3.7345,0,0,404,0.382,0,548,4,1,80,0,0,9,0.021,2,0,0
19,11,0,1,0,0,2,0,0,0,0,1,0,0,3.8269,0,0,200,1.693,1,364188,2,1,81,0,0,313,0.037,3,1,0
16,8,0,1,0,0,2,0,0,0,0,1,0,0,3.625,0,0,403,0.109,0,6994,4,1,58,0,0,31,0.06,1,0,0
17,9,0,1,0,0,2,1,0,0,0,1,0,0,3.6901,0,0,200,0.854,0,29727,2,1,74,0,0,15,0.035,1,1,0
131,15,108,2,2,0,7,20,0,0,1,1,4,0,4.9609,0,1,403,0.694,0,7662,5,1,62,0,0,21,0.001,1,1,1
